Sample,Na,Mg,Al,Si,S,Cl,K,Ca,V,Fe,Ni,Zn,Pb
IND_A_001,0.27,0.65,2.04,6.65,57.53,0.57,14.65,1.56,0.04,5.91,0.02,4.49,0.81
IND_A_002,8.14,0.96,1.69,4.8,52.92,0.73,18.94,1.66,0.01,2.84,0.03,3.91,0.51
IND_A_003,8.68,1.09,1.98,5.4,48.67,0.94,18.98,2.22,0.01,4.03,0.03,3.94,0.67
IND_A_004,9.07,1.05,2.07,5.96,34.99,5.83,18.94,2.13,0.01,5.11,0.04,8.23,0.88
IND_A_005,9.81,1.17,2.62,5.9,45.42,2.02,14.11,1.9,0.04,4.58,0.01,7.48,0.69
IND_A_006,10.18,0.93,2.46,6.55,37.95,4.53,15.89,1.89,0.02,5.46,0.02,9.21,0.72
IND_A_007,6.07,0.3,1.2,3.77,65.81,0.16,9.37,1.2,0.1,2.62,0.04,5.28,1.23
IND_A_008,5.71,0.25,1.7,4.98,56.97,1.38,14.76,0.76,0.04,3.53,0.03,4.7,1.02
IND_A_009,4.57,0.44,1.28,4.13,59.99,0.44,10.6,7.68,0.02,3.89,0.02,3.17,0.89
IND_A_010,11.08,0.64,2.02,4.64,34.38,9.82,8.62,2.13,0.02,6.22,0.04,15.73,1.33
IND_A_011,7.91,0.29,1.73,4.63,55.46,1.18,8.78,1.88,0.03,5.02,0.04,7.1,1.31
IND_A_012,10.17,0.76,1.68,4.38,50.96,1.38,9.46,1.41,0.03,5.72,0.03,9.67,0.85
IND_A_013,7.39,0.73,1.69,5.27,55.72,1.06,13.95,1.64,0.02,3.65,0.03,4.9,0.71
IND_A_014,8.5,0.52,1.39,3.83,55.65,1.21,10.1,1.31,0.05,2.59,0.03,7.34,4.68
IND_A_015,7.38,0.69,1.48,4.54,56.76,0.88,13.8,2.31,0.02,3.36,0.03,4.61,1.77
IND_A_016,8.51,0.88,2.21,6.03,45.66,1.26,16.8,2.31,0.02,3.65,0.04,6.53,0.65
IND_A_017,8.08,0.71,1.5,4.04,55.45,0.79,14.67,1.39,0.02,3.4,0.02,6.2,0.79
IND_A_018,8.66,0.74,1.58,4.52,56.59,0.63,15.87,1.37,0.01,2.98,0.01,3.45,0.55
IND_A_019,10.89,1.17,1.15,3.63,59.88,0.41,12.46,1.87,0.02,2.52,0.01,2.83,0.42
IND_A_020,5.49,0.58,2.05,6.78,59.2,0.31,7.58,8.1,0.01,3.37,0.01,3.23,1.01
IND_A_021,6.28,0.48,1.37,3.74,68.65,0.24,8.42,1.35,0.03,2.27,0.02,3.7,1.16
IND_A_022,6.53,0.7,1.4,4.38,60.18,0.57,12.23,2.83,0.02,2.37,0.01,2.67,2.64
IND_A_023,6.94,0.69,1.58,4.89,57.43,0.67,15.73,2.11,0.01,3.08,0.02,4.22,0.48
IND_A_024,5.79,0.66,2.12,7.81,49.39,1.07,12.06,8.51,0.02,3.84,0.02,5.67,0.59
IND_A_025,5.06,0.22,1.06,3.3,55.93,0.23,12.8,1.33,0.02,2.06,0.03,2.41,13.03
IND_A_026,3.95,0.11,0.83,2.57,59.54,0.02,10.35,1.57,0.02,1.88,0.03,3.16,12.33
IND_A_027,9.62,0.97,1.63,4.53,49.71,0.81,10.13,2.14,0.02,4.32,0.01,8.89,3.64
IND_A_028,8.04,0.91,1.05,3.51,59.18,0.32,13.77,1.47,0.01,3.02,0.01,3.02,2.82
IND_A_029,7.67,0.94,1.83,4.74,56.92,0.49,14.55,1.25,0.02,3.81,0.03,4.21,0.55
IND_A_030,8.93,1.1,1.79,5.95,52.25,0.57,13.62,2.88,0.02,3.58,0.01,5.99,0.62
IND_A_031,8.76,1.2,2.57,10.07,34.37,0.98,16.41,10.54,0.01,5.03,0.02,6.36,0.7
IND_A_032,8.5,0.83,1.82,5.62,49.2,0.84,19.21,1.68,0.01,3.64,0.02,5.36,0.69
IND_A_033,7.66,1.02,1.63,5.24,55.26,0.27,13.13,3.35,0.01,3.06,0.03,3.58,3.23
IND_A_034,8.98,0.96,1.35,4.28,54.66,0.39,16.46,1.62,0.01,3.22,0.01,5.09,0.59
IND_A_035,7.32,0.56,1.5,4.2,57.11,0.46,12.09,1.48,0.03,4.4,0.02,7.75,0.54
IND_A_036,5,0.54,1.47,4.5,63.67,0.2,13.43,1.5,0.05,3.87,0.03,2.84,0.36
IND_A_037,5.61,0.71,1.85,4.52,59.84,0.13,13.64,1.43,0.04,3.7,0.03,4.75,0.46
IND_A_038,5.6,0.84,0.99,3.67,64.18,0.11,16.67,1.42,0.01,2.73,0.01,1.4,0.3
IND_A_039,6.79,0.64,1.32,4.8,53.23,0.71,16.54,1.99,0.03,2.75,0.01,4.99,3.21
IND_A_040,3.75,0.54,1.34,3.79,62.95,0.09,10.64,1.83,0.02,3.51,0.06,3.15,0.58
IND_A_041,2.93,4.32,0.21,2.77,35.29,0.41,7.69,8.69,0.04,1.13,0.27,1.1,0.15
IND_A_042,8.8,0.79,1.44,4.25,60.02,0.47,12.74,1.17,0.02,2.55,0.02,4.05,1.55
IND_A_043,6.81,0.85,1.09,4.02,65.63,0.04,13.01,1.63,0.02,2.27,0.01,1.91,0.36
IND_A_044,6.88,0.62,0.91,2.98,64.86,0.02,10.89,1.16,0.03,2.25,0.01,3.57,3.12
IND_A_045,11.24,1.07,1.35,4.05,51.37,0.08,16.62,1.77,0.01,2.84,0.02,2.83,3.62
IND_A_046,7.11,0.65,1.37,4.48,57.51,0.14,14.29,1.72,0.03,3.42,0.01,4.41,2.2
IND_A_047,7.73,0.95,1.42,4.69,57.12,0.34,13.49,2.27,0.02,3.21,0.02,3.59,1.79
IND_A_048,11.13,1.04,2.06,5.74,47.66,0.25,10.8,2.35,0.04,5.29,0.02,8.64,1.13
IND_B_001,11.66,0.48,2.41,5.02,31.6,0.98,12.05,4.61,0.05,3.34,0.05,3.07,19.98
IND_B_002,17.11,0.09,1.69,3.77,21.45,6.4,7.96,2.93,0,3.68,0.04,25.78,5.77
IND_B_003,13.76,0.2,2.65,5.4,28.03,4.65,10.71,3.38,0.02,4.74,0.02,18.96,2.87
IND_B_004,13.12,0.39,1.73,5.62,34.91,2.67,11.34,4.83,0.02,5.2,0.03,12.33,3.31
IND_B_005,11.74,0.7,3.45,7.17,37.7,1.37,13.4,2.67,0.04,5.49,0.02,9.65,2.49
IND_B_006,14.75,0.75,2.95,6.25,26.99,5.55,9.95,3.17,0.01,4.75,0.02,19.01,2.07
IND_B_007,14.27,0.38,2.03,4.2,13.57,7.9,10.62,2.81,0,4.99,0.04,23.73,11.29
IND_B_008,17.2,0.49,1.61,3.61,20.14,9.29,7.49,2.63,0.01,3.95,0.05,23.13,6.21
IND_B_009,15.3,0.19,2.08,5.05,23.77,6.69,8.96,2.88,0.01,4.1,0.02,22.06,4.04
IND_B_010,14.98,0.48,1.75,4.51,20.22,10.81,9.03,2.71,0,4.85,0.03,25.2,2.36
IND_B_011,13.25,0.42,3.77,5.13,16.12,6.89,9.77,3.52,0.03,4.91,0.02,13.13,18.02
IND_B_012,13.39,0.92,1.96,5.86,41.2,1.33,12.82,3.99,0.03,4.55,0.02,7.72,1.02
IND_B_013,9.72,0.4,1.95,5.63,41.08,2.25,16.16,3.31,0.03,3.99,0.04,7.9,3.21
IND_B_014,13.87,0.79,2.1,5.4,32.15,6.55,11.47,3,0.05,3.21,0.02,12.26,3.74
IND_B_015,17.32,0.62,2.22,4.43,25.19,5.64,11.61,3.23,0.03,3.33,0.01,15.67,6.93
IND_B_016,15.12,0.47,1.83,4.85,26.83,5.64,13.47,4.62,0.04,4.38,0.02,7.47,9.61
IND_B_017,25.37,3.1,0.99,3.25,35.27,5.72,10.05,4.39,0.08,2.52,0.05,3.91,0.64
IND_B_018,25.93,2.87,1.03,3.84,35.02,6.69,7.49,6.59,0.08,2.85,0.04,3.06,1
IND_B_019,17.71,1.34,1.95,4.53,36.01,2.43,10.02,2.7,0.04,3.13,0.02,11.78,5.37
IND_B_020,9.23,0.28,2,5.26,24.77,12.12,13.35,3.18,0.01,5.97,0.03,13.71,5.58
IND_B_021,12.68,0.28,1.77,3.7,21.04,7.78,11.12,2.39,0.01,3.69,0.01,22.67,9.46
IND_B_022,7.76,0.36,1.88,5.04,45.53,2.53,10.61,3.64,0.02,4.11,0.02,10.58,3.15
IND_B_023,12.17,0.57,1.57,4.77,49.8,0.97,7.5,3.29,0.03,5.34,0.02,9.52,0.85
IND_B_024,8.28,0.79,4.45,7,37.71,4.24,10.61,2.77,0.04,6.61,0.03,8.51,0.85
IND_B_025,7.63,0.64,2.4,7.58,34.42,2.55,17.5,3.73,0.03,6.25,0.05,9.39,2.85
IND_B_026,16.36,0.35,2.27,4.84,22.31,6.36,6.94,2.55,0.04,3.83,0.07,26.35,4.15
IND_B_027,11.78,0.29,2.34,7.32,35.02,3.39,11.38,5.61,0.02,4.14,0.04,10.27,2.07
IND_B_028,9.29,0.54,2.03,4.71,37.68,0.38,11.17,5.57,0.04,3.63,0.02,4.12,16.27